was_delayed,daily_rainfall,did_rain,Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport ,Scheduled Departure Time,event_id
False,0.0,False,US,04/03/2014,601,N647AW,PHX,16:20,20191126204304642
False,0.0,False,US,05/11/2014,2119,N746UW,DCA,15:00,20191126204311312
False,0.0,False,US,03/03/2014,2157,N967UW,LGA,17:00,20191126204307679
False,0.06,True,US,03/13/2014,2111,N749US,DCA,11:00,20191126204308208
False,0.0,False,US,08/29/2014,2145,N957UW,LGA,11:00,20191126204310716
False,0.67,True,US,07/14/2014,752,N192UW,CLT,08:05,20191126204317453
False,0.02,True,US,01/10/2014,2103,N763US,DCA,06:00,20191126204303444
False,0.54,True,US,08/31/2014,1700,N738US,PHL,08:30,20191126204310757
False,0.0,False,US,06/16/2014,2070,N575UW,CLT,12:50,20191126204314434
False,0.22,True,US,02/21/2014,2151, ,LGA,14:00,20191126204301060
False,0.02,True,US,01/10/2014,672,N534UW,PHL,07:30,20191126204303420
False,0.0,False,US,02/07/2014,728,N948UW,PHL,17:30,20191126204300301
False,0.1,True,US,12/02/2014,2139,N959UW,LGA,08:00,20191126204312468
False,1.88,True,US,07/04/2014,1938, ,CLT,17:05,20191126204316990
False,0.31,True,US,02/14/2014,2137,N949UW,LGA,07:00,20191126204300699
False,1.11,True,US,02/05/2014,1799, ,CLT,14:35,20191126204300190
False,0.0,False,US,08/26/2014,1701,N961UW,PHL,08:30,20191126204310492
False,0.0,False,US,07/11/2014,2145,N955UW,LGA,11:00,20191126204317364
False,0.0,False,US,10/30/2014,647,N642AW,PHX,06:15,20191126204302975
False,0.35,True,US,04/30/2014,2145,N948UW,LGA,11:00,20191126204306102
False,0.85,True,US,07/16/2014,629,N549UW,PHX,16:30,20191126204317568
False,0.01,True,US,10/08/2014,1819,N957UW,PHL,10:30,20191126204301816
False,0.0,False,US,02/12/2014,2121,N714US,DCA,15:00,20191126204300569
False,0.0,False,US,04/18/2014,601,N647AW,PHX,16:20,20191126204305442
False,0.0,False,US,10/09/2014,2111,N766US,DCA,11:00,20191126204301895
False,0.03,True,US,01/19/2014,728,N950UW,PHL,17:30,20191126204303863
False,0.02,True,US,12/11/2014,1909,N822AW,PHL,05:30,20191126204312913
False,0.02,True,US,11/27/2014,2107,N824AW,DCA,09:00,20191126204307455
False,0.0,False,US,01/22/2014,2030,N716UW,PHL,11:30,20191126204304014
False,0.0,False,US,05/07/2014,1809,N954UW,PHL,09:30,20191126204311093
False,0.0,False,US,07/25/2014,643,N642AW,CLT,09:45,20191126204318070
False,0.0,False,US,10/30/2014,2117,N835AW,DCA,14:00,20191126204303009
False,0.0,False,US,09/25/2014,2151,N958UW,LGA,14:00,20191126204316538
False,0.0,False,US,08/30/2014,672,N161UW,PHL,07:30,20191126204310729
False,0.0,False,US,02/28/2014,2125,N724UW,DCA,17:00,20191126204301409
False,0.0,False,US,05/29/2014,2109,N830AW,DCA,10:00,20191126204312249
False,0.0,False,US,02/17/2014,824,N945UW,PHL,12:30,20191126204300784
False,0.0,False,US,03/11/2014,2131,N750UW,DCA,21:00,20191126204308096
False,0.0,False,US,03/01/2014,582,N833AW,PHX,06:10,20191126204307560
True,0.44,True,US,12/03/2014,2151,N953UW,LGA,14:00,20191126204312533
False,0.0,False,US,11/25/2014,1788,N559UW,CLT,19:10,20191126204307343
False,0.0,False,US,11/22/2014,601,N664AW,PHX,16:20,20191126204307206
False,0.0,False,US,04/24/2014,2159,N945UW,LGA,18:00,20191126204305801
False,0.28,True,US,07/03/2014,722, ,PHL,18:30,20191126204316921
False,0.0,False,US,04/28/2014,2153,N957UW,LGA,15:00,20191126204305986
False,0.11,True,US,07/28/2014,2056,N171US,CLT,12:50,20191126204318225
False,0.0,False,US,08/28/2014,2129,N755US,DCA,20:00,20191126204310647
False,0.0,False,US,03/23/2014,2001,N103US,PHL,07:30,20191126204308716
False,0.11,True,US,05/30/2014,2135,N947UW,LGA,06:45,20191126204312323
False,0.23,True,US,04/05/2014,2101,N967UW,DCA,06:00,20191126204304780
False,0.0,False,US,10/18/2014,2013,N111US,CLT,11:10,20191126204302368
False,0.0,False,US,05/25/2014,1848,N958UW,PHL,09:30,20191126204312039
True,0.0,False,US,11/11/2014,2157,N949UW,LGA,17:00,20191126204306655
